"UTM Content","Площадка","Визиты","Посетители","Отказы","Время на сайте","Роботность","Достижения цели (Автоцель: заполнил контактные данные)","Достижения цели (click_download)","Достижения цели (click_download_header)"
"K2_cashback-on-site","kidultlovin.word.zen","1","1","0.0","00:06:49","0.0","0","0","0"
"K2_cashback-on-site","m.images.yandex.ru","2","2","0.5","00:00:35","0.0","0","0","0"
"K2_cashback-on-site","m.video.yandex.ru","1","1","0.0","00:14:15","0.0","0","0","0"
"K2_cashback-on-site","myapplication.develop.autocodes","2","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","nekto.me","12","1","0.5","00:01:53","0.0","0","0","0"
"K2_cashback-on-site","org.aka.messenger","1","1","0.0","00:00:14","0.0","0","0","0"
"K2_cashback-on-site","readli.net","1","1","1.0","00:00:01","0.0","0","0","0"
"K2_cashback-on-site","ru.litres.android.readfree","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","sorting.games.goods.sort.triple.match3d.puzzle.stuff","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","teskin.jewels.planet","1","1","0.0","00:00:16","0.0","0","0","0"
"K2_cashback-on-site","video.like","7","5","0.5714285714285714","00:00:06","0.0","0","0","0"
"K2_cashback-on-site","video.yandex.ru","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","Не определено","82","70","0.5365853658536586","00:01:13","0.07317073170731707","0","0","0"
"K3_no-activation","74.ru","1","1","0.0","00:00:15","0.0","0","0","0"
"K3_no-activation","admobileapps.djremix10fi","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","admobileapps.new37apkfi","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","at.ner.SolitaireKlondike","1","1","1.0","00:00:00","0.0","0","0","0"
"K3_no-activation","beetles.puzzle.solitaire","1","1","0.0","00:14:06","0.0","0","0","0"
